Country or Area,Year,Value,Gas_Type
Liechtenstein,2013,192.544886659596,co2
Liechtenstein,2012,185.325447293463,co2
Liechtenstein,2011,176.781992710301,co2
Liechtenstein,2010,190.830438866761,co2
Liechtenstein,2009,205.374673474742,co2
Liechtenstein,2008,219.535867069077,co2
Liechtenstein,2007,200.793925066695,co2
Liechtenstein,2006,231.120799985606,co2
Liechtenstein,2005,228.986321744031,co2
Liechtenstein,2004,229.390829736888,co2
Liechtenstein,2003,229.35451611304,co2
Liechtenstein,2002,220.01827325449,co2
Liechtenstein,2001,214.671050081607,co2
Liechtenstein,2000,216.859998072712,co2
Liechtenstein,1999,226.566396560055,co2
Liechtenstein,1998,229.23871251075,co2
Liechtenstein,1997,218.376491402331,co2
Liechtenstein,1996,205.96036739446,co2
Liechtenstein,1995,204.2016142182,co2
Liechtenstein,1994,201.111090326121,co2
Liechtenstein,1993,215.03442023538,co2
Liechtenstein,1992,206.950491057098,co2
Liechtenstein,1991,206.329151456906,co2
Liechtenstein,1990,198.970855799094,co2
Lithuania,2021,13829.6745051854,co2
Lithuania,2020,13538.6735455394,co2
Lithuania,2019,13677.7750879094,co2
Lithuania,2018,13434.7460150158,co2
Lithuania,2017,13286.1875216231,co2
Lithuania,2016,13121.736944121,co2
Lithuania,2015,13055.4576022727,co2
Lithuania,2014,12854.8969294937,co2
Lithuania,2013,13154.2492798883,co2
Lithuania,2012,14055.9515485174,co2
Lithuania,2011,13960.9512297414,co2
Lithuania,2010,13803.1690377782,co2
Lithuania,2009,12830.5129498779,co2
Lithuania,2008,14918.747534284,co2
Lithuania,2007,15475.0528320354,co2
Lithuania,2006,14195.7827057713,co2
Lithuania,2005,13862.6499478743,co2
Lithuania,2004,13254.1689180878,co2
Lithuania,2003,12659.430765768,co2
Lithuania,2002,12666.0290652584,co2
